category_id;major_category_name;description;Changes (to new major_category)
469;Other;Goniopora Hemispherical;Massive corals
470;Other;Goniopora somaliensis;Encrusting corals
471;Other;Goniopora Submassive;Sub-massive corals
472;Other;Goniopora tenuidens;Massive corals
473;Black & Octocorals;Gorgonians;Soft corals and gorgonians
474;Macroalgae;Gracilaria spp.;Medium foliose red algae
475;Macroalgae;Grateloupia spp.;Medium foliose red algae
476;Substrate;Gravel;Pebbles/gravel/shell
477;Macroalgae;Green algal spp.(filamentous);Filamentous green algae_epiphyte
478;Macroalgae;Green algal spp.(turf);Turfing algae (<2 cm high algal/sediment mat on rock)
479;Macroalgae;Green calcified algae;Green calcified algae (Halimeda)
480;Macroalgae;Green calcified algae (Halimeda);Green calcified algae (Halimeda)
481;Macroalgae;Green foliose epiphyte;Medium foliose green algae
482;Macroalgae;Green turf;Turfing algae (<2 cm high algal/sediment mat on rock)
483;Macroalgae;Green turf sediment matrix;Turfing algae (<2 cm high algal/sediment mat on rock)
484;Macroalgae;Griffithsia spp.;Medium foliose red algae
485;Macroalgae;Halicnide similans;Medium foliose red algae
486;Macroalgae;Halimeda cuneata;Green calcified algae (Halimeda)
487;Macroalgae;Halimeda discoidea;Green calcified algae (Halimeda)
488;Macroalgae;Halimeda spp.;Green calcified algae (Halimeda)
489;Macroalgae;Haliptilon roseum;Geniculate coralline algae
490;Macroalgae;Haliptilon roseum epiphyte;Geniculate coralline algae
491;Other;Halomitra pileus;Large-polyp stony corals (free-living)
492;Seagrasses;Halophila australis;Seagrass (Halophila)
493;Seagrasses;Halophila ovata;Seagrass (Halophila)
494;Macroalgae;Haloplegma preissii;Medium foliose red algae
495;Macroalgae;Halopteris paniculata;Medium foliose brown algae
496;Macroalgae;Halopteris spp.;Medium foliose brown algae
497;Other;Heliopora coerulea;Heliopora coerulea (blue coral)
498;Coral;Heliopora coerulea (blue coral);Heliopora coerulea (blue coral)
499;Other;Heliopora coerulea (bleached);Heliopora coerulea (blue coral)_Bleached
500;Other;Heliopora coerulea (dead);Dead coral
501;Macroalgae;Hemineura frondosa;Medium foliose red algae
502;Ascidians;Herdmania grandis;Ascidians (unstalked)
503;Ascidians;Herdmania momus;Ascidians (unstalked)
504;Stony corals;Hermatypic corals;Stony corals
505;Other;Herpolitha limax;Large-polyp stony corals (free-living)
506;Seagrasses;Heterozostera spp.;Seagrass (straplike)
507;Macroalgae;Hincksia spp.;Filamentous brown algae_epiphyte
508;Macroalgae;Homoeostrichus olsenii;Medium foliose brown algae
509;Macroalgae;Hormophysa cuneiformis;Medium foliose brown algae
510;Macroalgae;Hormosira banksii;Medium foliose brown algae
511;Other;Hydnophora Branching;Branching corals
512;Other;Hydnophora exesa;Encrusting corals
513;Other;Hydnophora microconos;Massive corals
514;Other;Hydnophora rigida;Branching corals
515;Macroalgae;Hydroclathrus clathratus;Medium foliose brown algae
516;Hydrocoral;Hydrocoral;Hydrocoral
517;Hydrocoral;Hydrocoral (bleached);Hydrocoral_Bleached
518;Hydrocoral;Hydrocoral (dead);Dead coral
519;Cnidaria;Hydroids;Hydroids
520;Macroalgae;Hypnea ramentacea;Filamentous red algae_epiphyte
521;Other;Isopora;Stony corals
522;Other;Isopora Branching;Branching corals
523;Other;Isopora brueggemanni;Branching corals
524;Other;Isopora brueggemanni (dead);Dead coral
525;Stony corals;Isopora cuneata;Encrusting corals
526;Other;Isopora cylindrica;Branching corals
527;Other;Isopora elizabethensis;Branching corals
528;Other;Isopora Encrusting;Encrusting corals
529;Other;Isopora Encrusting (bleached);Encrusting corals_Bleached
530;Other;Isopora Submassive;Sub-massive corals
531;Macroalgae;Jania spp.;Geniculate coralline algae
532;Macroalgae;Jania spp.epiphyte;Geniculate coralline algae
533;Macroalgae;Jeannerettia lobata;Medium foliose red algae
534;Macroalgae;Kallymenia spp.;Medium foliose red algae
535;Macroalgae;Large brown fucoid kelps;Other fucoids
536;Macroalgae;Large brown laminarian kelps;Large brown laminarian kelps
537;Macroalgae;Large brown laminarian kelps (+ Durvillaea);Large brown laminarian kelps
538;Stony corals;Large-polyp stony corals (free-living) (live);Large-polyp stony corals (free-living)
539;Stony corals;Large-polyp stony corals (bleached);Large-polyp stony corals (free-living)_Bleached
540;Stony corals;Large-polyp stony corals (dead);Dead coral
541;Stony corals;Large-polyp stony corals (free-living);Large-polyp stony corals (free-living)
542;Stony corals;Large-polyp stony corals (free-living) (bleached);Large-polyp stony corals (free-living)_Bleached
543;Stony corals;Large-polyp stony corals (free-living) (recently dead);Dead coral
544;Macroalgae;Laurencia spp.;Medium foliose red algae
545;Macroalgae;Leathesia difformis;Medium foliose brown algae
546;Black & Octocorals;Lemnalia spp.;Soft corals and gorgonians
547;Macroalgae;Lenormandia marginata;Medium foliose red algae
548;Macroalgae;Lenormandia muelleri;Medium foliose red algae
549;Macroalgae;Lenormandia smithiae;Medium foliose red algae
550;Macroalgae;Lenormandia spp.;Medium foliose red algae
551;Other;Leptastrea;Stony corals
552;Other;Leptastrea bottae;Massive corals
553;Other;Leptastrea Encrusting;Encrusting corals
554;Other;Leptastrea inaequalis;Massive corals
555;Other;Leptastrea pruinosa;Encrusting corals
556;Other;Leptastrea purpurea;Encrusting corals
557;Other;Leptastrea Submassive;Sub-massive corals
558;Other;Leptoria phrygia;Sub-massive corals
559;Other;Leptoseris Encrusting;Encrusting corals
560;Other;Leptoseris Flagged For Review;Stony corals
561;Other;Leptoseris mycetoseroides;Encrusting corals
562;Other;Leptoseris yabei;Foliose/Plate corals
563;Macroalgae;Lessonia corrugata;Large brown laminarian kelps
564;Macroalgae;Liagora spp.;Medium foliose red algae
565;Mobile invertebrate;Limpet;Unscorable
566;Other;Lithophyllon undulatum;Encrusting corals
567;Macroalgae;Lobophora variegata;Medium foliose brown algae
568;Other;Lobophyllia hemprichii;Sub-massive corals
569;Black & Octocorals;Lobophytum sp.;Soft corals and gorgonians
570;Macroalgae;Lobospira bicuspidata;Medium foliose brown algae
571;Tape, wand, shadow;locality variation;Unscorable
572;Macroalgae;Macroalgae;Other fucoids
573;Macroalgae;Macroalgae_canopy forming;Other fucoids
574;Macroalgae;Macrocystis pyrifera;Macrocystis
575;Cnidaria;Macrorhynchia phillipina;Hydroids
576;Forams;Marginopora vertebralis;Forams
577;Macroalgae;Martensia australis;Medium foliose red algae
578;Macroalgae;Martensia spp.;Medium foliose red algae
579;Stony corals;Massive corals (bleached);Massive corals_Bleached
580;Stony corals;Massive corals (dead);Dead coral
581;Stony corals;Massive corals (Live);Massive corals
582;Macroalgae;Melanthalia spp.;Medium foliose red algae
583;Other;Merulina ampliata;Foliose/Plate corals
584;Other;Merulina scabricula;Foliose/Plate corals
585;Other;Merulina scabricula (bleached);Foliose/Plate corals_Bleached
586;Macroalgae;Metagoniolithon radiatum;Geniculate coralline algae
587;Macroalgae;Metagoniolithon stelliferum;Geniculate coralline algae
588;Macroalgae;Metamastophora flabellata;Geniculate coralline algae
589;Hydrocoral;Millepora sp;Hydrocoral
590;Other;Millepora;Hydrocoral
591;Hydrocoral;Millepora & Distichopora spp.;Hydrocoral
592;Other;Millepora branching;Hydrocoral
593;Other;Millepora dichotoma;Hydrocoral
594;Other;Millepora exaesa;Hydrocoral
595;Other;Millepora exaesa (bleached);Foliose/Plate corals_Bleached
596;Other;Millepora intricata;Hydrocoral
597;Other;Millepora tenera;Hydrocoral
598;Mobile invertebrate;Mobile Invertebrate;Unscorable
599;Mobile invertebrate;Mollusc;Unscorable
600;Mobile invertebrate;Molluscs;Molluscs
601;Stony corals;Montastrea spp.;Massive corals
602;Stony corals;Montastrea spp. (bleached);Encrusting corals_Bleached
603;Other;Montigyra Hemispherical;Massive corals
604;Other;Montipora;Stony corals
605;Other;Montipora aequituberculata;Foliose/Plate corals
606;Other;Montipora caliculata;Sub-massive corals
607;Other;Montipora capricornis;Foliose/Plate corals
608;Other;Montipora Columnar or digitate;Columnar corals
609;Other;Montipora confusa;Columnar corals
610;Other;Montipora corbettensis;Foliose/Plate corals
611;Other;Montipora crassituberculata;Foliose/Plate corals
612;Other;Montipora danae;Encrusting corals
613;Other;Montipora digitata;Branching corals
614;Other;Montipora efflorescens;Sub-massive corals
615;Other;Montipora Encrusting;Encrusting corals
616;Other;Montipora Encrusting (bleached);Encrusting corals_Bleached
617;Other;Montipora foliosa;Foliose/Plate corals
618;Other;Montipora Foliose;Foliose/Plate corals
619;Other;Montipora foveolata;Sub-massive corals
620;Other;Montipora grisea;Encrusting corals
621;Other;Montipora Hemispherical;Massive corals
622;Other;Montipora Hemispherical (bleached);Massive corals_Bleached
623;Other;Montipora hispida;Foliose/Plate corals
624;Other;Montipora hispida (bleached);Foliose/Plate corals_Bleached
625;Other;Montipora hoffmeisteri;Sub-massive corals
626;Other;Montipora incrassata;Sub-massive corals
627;Other;Montipora informis;Encrusting corals
628;Other;Montipora meandrina;Sub-massive corals
629;Other;Montipora monasteriata;Encrusting corals
630;Other;Montipora myriophthalma;Encrusting corals
631;Other;Montipora nodosa;Sub-massive corals
632;Other;Montipora peltiformis;Foliose/Plate corals
633;Other;Montipora Solid plates;Foliose/Plate corals
634;Stony corals;Montipora spp.;Stony corals
635;Other;Montipora stellata;Branching corals
636;Other;Montipora Submassive;Sub-massive corals
637;Other;Montipora Submassive (bleached);Sub-massive corals_Bleached
638;Other;Montipora tuberculosa;Encrusting corals
639;Other;Montipora turgescens;Encrusting corals
640;Other;Montipora undata;Encrusting corals
641;Other;Montipora venosa;Sub-massive corals
642;Other;Montipora verrucosa;Encrusting corals
643;Black & Octocorals;Mopsella spp.;Soft corals and gorgonians
644;Molluscs;Mussels;Sessile bivalves
645;Stony corals;Mussidae spp.;Massive corals
646;Stony corals;Mussidae spp. (dead);Dead coral
647;Stony corals;Mycedium elephantotus;Foliose/Plate corals
648;Other;Mycedium mancaoi;Foliose/Plate corals
649;Macroalgae;Myriodesma sp. (wide leaves);Other fucoids
650;Macroalgae;Myriogramme gunniana;Medium foliose red algae
651;Molluscs;Mytlus galloprovincialis;Sessile bivalves
652;Other;New species record;Stony corals
653;Macroalgae;Nitospinosa tasmanica;Medium foliose red algae
654;Tape, wand, shadow;No Score Recorded;Unscorable
655;Black & Octocorals;Organ-pipe coral (Tubipora);Organ-pipe coral (Tubipora)
656;Stony corals;Other branching/erect corals (bleached);Branching corals_Bleached
657;Stony corals;Other branching/erect corals (Live);Branching corals
658;Macroalgae;Other fucoids;Other fucoids
659;Macroalgae;other green 1;Medium foliose green algae
660;Tape, wand, shadow;other invertebrates;Unscorable
661;Macroalgae;Other red 1;Medium foliose red algae
662;Macroalgae;other red 2;Medium foliose red algae
663;Macroalgae;other red 3;Medium foliose red algae
664;Other;Oulophyllia;Massive corals
665;Other;Oulophyllia bennettae;Massive corals
666;Other;Oulophyllia crispa;Massive corals
667;Tape, wand, shadow;Outside recorded distribution;Unscorable
668;Other;Oxypora;Foliose/Plate corals
669;Other;Oxypora crassispinosa;Foliose/Plate corals
670;Other;Oxypora Encrusting;Encrusting corals
671;Other;Oxypora lacera;Foliose/Plate corals
672;Molluscs;Oysters;Sessile bivalves
673;Macroalgae;Pachydictyon paniculatum;Medium foliose brown algae
674;Other;Pachyseris;Stony corals
675;Other;Pachyseris Encrusting;Encrusting corals
676;Other;Pachyseris rugosa;Sub-massive corals
677;Other;Pachyseris speciosa;Foliose/Plate corals
678;Other;Pachyseris speciosa (dead);Dead coral
679;Other;Pachyseris Submassive;Sub-massive corals
680;Macroalgae;Padina spp.;Medium foliose brown algae
681;Cnidaria;Palythoa spp.;Colonial Anemones, Zoanthids and Corallimorphs
682;Cnidaria;Parazoanthus sp. (yellow);Colonial Anemones, Zoanthids and Corallimorphs
683;Other;Pavona bipartita;Sub-massive corals
684;Other;Pavona cactus;Branching corals
685;Other;Pavona clavus;Columnar corals
686;Other;Pavona decussata;Foliose/Plate corals
687;Other;Pavona duerdeni;Sub-massive corals
688;Other;Pavona explanulata;Encrusting corals
689;Other;Pavona maldivensis;Columnar corals
690;Stony corals;Pavona minuta;Encrusting corals
691;Stony corals;Pavona sp.;Encrusting corals
692;Stony corals;Pavona spp.;Stony corals
693;Other;Pavona Submassive;Sub-massive corals
694;Other;Pavona varians;Encrusting corals
695;Other;Pavona venosa;Sub-massive corals
696;Substrate;Pebble;Pebbles/gravel/shell
697;Substrate;Pebbles/gravel;Pebbles/gravel/shell
698;Substrate;Pebbles/unconsolidated rocky bottom/coral rubble;Pebbles/gravel/shell
699;Other;Pectinia alcicornis;Foliose/Plate corals
700;Other;Pectinia Encrusting;Encrusting corals
701;Other;Pectinia lactuca;Sub-massive corals
702;Other;Pectinia paeonia;Sub-massive corals
703;Other;Pectinia teres;Branching corals
704;Macroalgae;Perithalia caudata;Medium foliose brown algae
705;Macroalgae;Peyssonnelia spp. (flat);Encrusting leathery algae
706;Macroalgae;Phacelocarpus spp.;Medium foliose red algae
707;Macroalgae;Phyllospora comosa;Phyllospora comosa
708;Other;Phymastrea;Stony corals
709;Other;Phymastrea magnistellata;Massive corals
710;Other;Phymastrea valenciennesi;Sub-massive corals
711;Macroalgae;Phymatolithon masonianum;Crustose coralline algae
712;Physical;Physical;Bare Rock
713;Other;Physogyra lichtensteini;Massive corals
714;Other;Platygyra;Massive corals
715;Other;Platygyra contorta;Sub-massive corals
716;Other;Platygyra daedalea;Massive corals
717;Other;Platygyra Encrusting;Encrusting corals
718;Other;Platygyra Hemispherical;Massive corals
719;Other;Platygyra lamellina;Massive corals
720;Other;Platygyra pini;Massive corals
721;Other;Platygyra ryukyuensis;Massive corals
722;Other;Platygyra sinensis;Massive corals
723;Stony corals;Platygyra spp.;Massive corals
724;Other;Platygyra Submassive;Sub-massive corals
725;Other;Platygyra verweyi;Massive corals
726;Stony corals;Plesiastrea spp.;Stony corals
727;Stony corals;Plesiastrea spp. (bleached);Encrusting corals_Bleached
728;Stony corals;Plesiastrea versipora;Massive corals
729;Macroalgae;Plocamium angustum;Medium foliose red algae
730;Macroalgae;Plocamium dilatatum;Medium foliose red algae
731;Macroalgae;Plocamium mertensii;Medium foliose red algae
732;Macroalgae;Plocamium preissianum;Medium foliose red algae
733;Macroalgae;Plocamium spp.;Medium foliose red algae
734;Stony corals;Pocillopora;Branching Pocillopora
735;Stony corals;Pocillopora (bleached);Branching Pocillopora_Bleached
736;Stony corals;Pocillopora (dead);Dead coral
737;Stony corals;Pocillopora damicornis;Branching Pocillopora
738;Stony corals;Pocillopora damicornis (bleached);Branching Pocillopora_Bleached
739;Stony corals;Pocillopora damicornis (dead);Dead coral
740;Other;Pocillopora eydouxi;Branching Pocillopora
741;Other;Pocillopora eydouxi (dead);Dead coral
742;Other;Pocillopora meandrina;Branching Pocillopora
743;Stony corals;Pocillopora spp.;Branching Pocillopora
744;Other;Pocillopora verrucosa;Branching Pocillopora
745;Other;Pocillopora verrucosa (bleached);Branching Pocillopora_Bleached
746;Other;Pocillopora verrucosa (dead);Dead coral
747;Other;Podabacia crustacea;Foliose/Plate corals
748;Worms;Polychaete;Polychaete
874;Sponges;Sponges (hollow);Sponges (hollow)
749;Macroalgae;Polysiphonia sp. either blandia or infestans;Filamentous red algae_epiphyte
750;Other;Porites;Stony corals
751;Other;Porites annae;Sub-massive corals
752;Other;Porites annae (bleached);Sub-massive corals_Bleached
753;Other;Porites Branching;Branching corals
754;Other;Porites cylindrica;Branching corals
755;Other;Porites cylindrica (bleached);Branching corals_Bleached
756;Other;Porites Encrusting;Encrusting corals
757;Other;Porites Encrusting (dead);Dead coral
758;Other;Porites Foliose;Foliose/Plate corals
759;Other;Porites Hemispherical;Massive corals
760;Stony corals;Porites heronensis;Columnar corals
761;Stony corals;Porites heronensis (bleached);Columnar corals_Bleached
762;Stony corals;Porites heronensis (dead);Dead coral
763;Other;Porites lichen;Foliose/Plate corals
764;Other;Porites lichen (dead);Dead coral
765;Other;Porites Massive;Massive corals
766;Other;Porites monticulosa;Foliose/Plate corals
767;Other;Porites nigrescens;Branching corals
768;Other;Porites rugosa;Branching corals
769;Other;Porites rus;Sub-massive corals
770;Other;Porites rus (bleached);Sub-massive corals_Bleached
771;Other;Porites Solid plates;Foliose/Plate corals
772;Stony corals;Porites spp.;Stony corals
773;Stony corals;Porites spp. (bleached);Stony corals_Bleached
774;Stony corals;Porites spp. (dead);Dead coral
775;Other;Porites Submassive;Sub-massive corals
776;Other;Porites vaughani;Encrusting corals
777;Seagrasses;Posidonia australis;Seagrass (straplike)
778;Seagrasses;Posidonia spp.;Seagrass (straplike)
779;Other;Psammocora contigua;Branching corals
780;Other;Psammocora Encrusting;Encrusting corals
781;Other;Psammocora haimiana;Columnar corals
782;Other;Psammocora nierstraszi;Encrusting corals
783;Other;Psammocora obtusangula;Branching corals
784;Other;Psammocora profundacella;Encrusting corals
785;Other;Psammocora Submassive;Sub-massive corals
786;Black & Octocorals;Pteronisis spp.;Soft corals and gorgonians
787;Macroalgae;Pterocladia lucida;Medium foliose red algae
788;Macroalgae;Pterocladia spp.;Medium foliose red algae
789;Macroalgae;Ptilonia australica;Medium foliose red algae
790;Ascidians;Pyura gibbosa;Ascidians (stalked)
791;Ascidians;Pyura spinifera;Ascidians (stalked)
792;Cnidaria;Ralpharia magnifica;Hydroids
793;Other;Recently (dead);Dead coral
794;Macroalgae;Red algal spp. (turf);Turfing algae (<2 cm high algal/sediment mat on rock)
795;Macroalgae;Red algal spp. (filamentous);Filamentous red algae_epiphyte
796;Macroalgae;Red cabbage algae;Medium foliose red algae
797;Macroalgae;Red coralline algae;Crustose coralline algae
798;Macroalgae;Red foliose epiphyte;Medium foliose red algae
799;Macroalgae;Red turf sediment matrix;Turfing algae (<2 cm high algal/sediment mat on rock)
800;Macroalgae;Rhodoliths;Crustose coralline algae
801;Macroalgae;Rhodophyllis multipartita;Medium foliose red algae
802;Macroalgae;Rhodymenia spp.;Medium foliose red algae
803;Ascidians;Ritterella pednuculata;Ascidians (unstalked)
804;Substrate;Rock;Bare Rock
805;Substrate;Rock (bare);Bare Rock
806;Substrate;Rubble;Coral rubble
807;Worms;Sabellid worms;Polychaete
808;Substrate;Sand;Sand
809;Macroalgae;Sand/turf/mix;Turfing algae (<2 cm high algal/sediment mat on rock)
810;Other;Sandalolitha robusta;Large-polyp stony corals (free-living)
811;Other;Sandalolitha robusta (bleached);Large-polyp stony corals (free-living)_Bleached
812;Macroalgae;Sarcodia ciliata;Medium foliose red algae
813;Macroalgae;Sarcomenia delesseriodes;Medium foliose red algae
814;Black & Octocorals;Sarcophyton spp.;Soft corals and gorgonians
815;Macroalgae;Sargassum decipiens;Other fucoids
816;Macroalgae;Sargassum fallax;Other fucoids
817;Macroalgae;Sargassum heteromorphum;Other fucoids
818;Macroalgae;Sargassum lacerifolium;Other fucoids
819;Macroalgae;Sargassum linearifolium;Other fucoids
820;Macroalgae;Sargassum sonderi;Other fucoids
821;Macroalgae;Sargassum spinuligerum;Other fucoids
822;Macroalgae;Sargassum spp.;Other fucoids
823;Macroalgae;Sargassum varians;Other fucoids
824;Macroalgae;Sargassum verruculosum;Other fucoids
825;Macroalgae;Sargassum vestium;Other fucoids
826;Macroalgae;Scaberia agardhii;Other fucoids
827;Molluscs;Scallops;Sessile bivalves
828;Other;Scapophyllia cylindrica;Columnar corals
829;Stony corals;Scolymia australis;Large-polyp stony corals (free-living)
830;Macroalgae;Scytothalia dorycarpa;Other fucoids
831;Black & Octocorals;Sea pens;Soft corals and gorgonians
832;Black & Octocorals;Sea whips;Soft corals and gorgonians
833;Seagrasses;Seagrasses;Seagrasses
834;Seagrasses;Seagrass (Halophila);Seagrass (Halophila)
835;Seagrasses;Seagrass (straplike);Seagrass (straplike)
836;Substrate;Sediment;Sand
837;Substrate;Sediment matrix;Sand
838;Macroalgae;Sediment Turf Matrix;Turfing algae (<2 cm high algal/sediment mat on rock)
839;Macroalgae;Seirococcus axillaris;Other fucoids
840;Other;Seriatopora;Branching corals
841;Other;Seriatopora aculeata;Branching corals
842;Other;Seriatopora caliendrum;Branching corals
843;Other;Seriatopora caliendrum (bleached);Branching corals_Bleached
844;Other;Seriatopora caliendrum (dead);Dead coral
845;Stony corals;Seriatopora hystrix;Branching corals
846;Stony corals;Seriatopora hystrix (bleached);Branching corals_Bleached
847;Stony corals;Seriatopora hystrix (dead);Dead coral
848;Worms;Serpulid worms;Polychaete
849;Molluscs;Sessile bivalves;Sessile bivalves
850;Molluscs;Sessile gastropods;Sessile gastropods
851;Molluscs;Sessile mollusc;Molluscs
852;Tape, wand, shadow;shadow;Unscorable
853;Substrate;Silt;Sand
854;Black & Octocorals;Sinularia spp.;Soft corals and gorgonians
855;Macroalgae;Small <2cm algal cover (not trapping sediment);Small <2cm foliose algal cover (not trapping sediment)
856;Black & Octocorals;Soft corals;Soft corals and gorgonians
857;Black & Octocorals;Soft corals and gorgonians;Soft corals and gorgonians
858;Black & Octocorals;Soft corals and gorgonians (bleached);Soft corals and gorgonians_Bleached
859;Black & Octocorals;Soft corals and gorgonians (dead);Soft corals and gorgonians
860;Bryozoa;Soft erect bryozoans;Bryozoan (soft)
861;Other;Solid plate corals;Foliose/Plate corals
862;Other;Solid plate corals (bleached);Foliose/Plate corals_Bleached
863;Cnidaria;Solitary Anemones;Solitary Anemones
864;Macroalgae;Sonderopelta coriacea;Medium foliose red algae
865;Worms;Spirorbid worms;Polychaete
866;Sponges;Sponges (encrusting);Sponges (encrusting)
867;Sponges;Sponges (erect);Sponges (erect)
868;Sponges;Sponge (plate);Sponges (erect)
869;Sponges;Sponge spp. (encrusting);Sponges (encrusting)
870;Sponges;Sponge spp. (erect);Sponges (erect)
871;Sponges;Sponge spp. (hollow);Sponges (hollow)
872;Sponges;Sponge spp. (massive);Sponges (massive)
873;Sponges;Sponges;Sponges (encrusting)
875;Sponges;Sponges (massive);Sponges (massive)
876;Other;Sponges Flagged For Review;Sponges (encrusting)
877;Macroalgae;Sporochnus spp.;Medium foliose brown algae
878;Stony corals;Staghorn Acropora (bleached);Branching Acropora_Bleached
879;Stony corals;Staghorn Acropora (live);Branching Acropora
880;Stony corals;Staghorn Acropora (recently dead);Dead coral
881;Stony corals;Staghorn Acropora;Branching Acropora
882;Macroalgae;Stenogramme interrupta;Medium foliose red algae
883;Sponges;Strepsichordaia caliciformis;Sponges (erect)
884;Hydrocoral;Stylaster brunneus;Hydrocoral
885;Other;Stylocoeniella guentheri;Sub-massive corals
886;Other;Stylocoeniella guentheri Bleached,Flagged For Review,(dead);Dead coral
887;Other;Stylophora Branching;Branching corals
888;Stony corals;Stylophora pistillata;Branching corals
889;Other;Stylophora pistillata (bleached);Branching corals_Bleached
890;Stony corals;Stylophora spp.;Stony corals
891;Stony corals;Sub-massive corals;Sub-massive corals
892;Stony corals;Sub-massive corals (bleached);Sub-massive corals_Bleached
893;Stony corals;Sub-massive corals (live);Sub-massive corals
894;Stony corals;Sub-massive corals (recently dead);Dead coral
895;Substrate;Substrate;Unscorable
896;Ascidians;Sycozoa cerebriformis;Ascidians (unstalked)
897;Ascidians;Sycozoa spp.;Ascidians (unstalked)
898;Other;Symphyllia;Massive corals
899;Other;Symphyllia hemispherica;Massive corals
900;Other;Symphyllia Hemispherical;Massive corals
901;Other;Symphyllia radians;Massive corals
902;Other;Symphyllia recta;Massive corals
903;Other;Symphyllia Submassive;Sub-massive corals
904;Macroalgae;Synarthrophyton patena;Geniculate coralline algae
905;Macroalgae;Synarthrophyton patena epiphyte;Geniculate coralline algae
906;Stony corals;Tabular Acropora Coral (bleached);Tabular Acropora corals_Bleached
907;Stony corals;Tabular Acropora Coral (live);Tabular Acropora corals
908;Stony corals;Tabular Acropora Coral (recently dead);Dead coral
909;Stony corals;Tabular Coral (bleached);Tabular Acropora corals_Bleached
910;Stony corals;Tabular Coral (dead);Dead coral
911;Stony corals;Tabular Coral (Live);Tabular Acropora corals
912;Tape, wand, shadow;Tape;Unscorable
913;Tape, wand, shadow;Tape Wand Shadow;Unscorable
914;Tape, wand, shadow;Tape, wand, shadow;Unscorable
915;Sponges;Tethya spp.;Sponges (massive)
916;Macroalgae;Thamnoclonium dichotomum;Medium foliose red algae
917;Bryozoa;Triphyllozoon sp.;Bryozoan (hard)
918;Other;Tubastrea;Ahermatypic corals
919;Other;Tubastrea faulkneri;Ahermatypic corals
920;Black & Octocorals;Tubipora musica;Organ-pipe coral (Tubipora)
921;Other;Turbinaria;Foliose/Plate corals
922;Other;Turbinaria Encrusting;Encrusting corals
923;Other;Turbinaria Foliose;Foliose/Plate corals
924;Other;Turbinaria frondens;Foliose/Plate corals
925;Other;Turbinaria irregularis;Encrusting corals
926;Other;Turbinaria mesenterina;Foliose/Plate corals
927;Other;Turbinaria peltata;Foliose/Plate corals
928;Other;Turbinaria reniformis;Foliose/Plate corals
929;Stony corals;Turbinaria spp.;Foliose/Plate corals
930;Stony corals;Turbinaria spp. (dead);Dead coral
931;Other;Turbinaria stellulata;Massive corals
932;Macroalgae;Ulva spp.;Medium foliose green algae
933;Macroalgae;Undaria pinatifida;Large brown laminarian kelps
934;Tape, wand, shadow;Unsure;Unscorable
935;Mobile invertebrate;Urchin;Unscorable
936;Macroalgae;Ventricaria spp.;Medium foliose green algae
937;Worms;Worms;Worms
938;Black & Octocorals;Xenia spp.;Soft corals and gorgonians
939;Macroalgae;Xiphophora gladiata;Other fucoids
940;Macroalgae;Xiphophora spp.;Other fucoids
941;Cnidaria;Zoanthus robustus;Colonial Anemones, Zoanthids and Corallimorphs
942;Cnidaria;Zoanthus spp.;Colonial Anemones, Zoanthids and Corallimorphs
943;Macroalgae;Zonaria spiralis;Medium foliose brown algae
944;Macroalgae;Zonaria spp.;Medium foliose brown algae
945;Seagrasses;Zostera spp.;Seagrass (straplike)
