"survey_id","survey_method_id"
912347852,70
912346313,168
3000166,323
912347492,409
912349847,477
912351918,895
912351963,968
912351423,987
3002585,1006
912352106,1014
912351403,1314
3002527,2057
3000216,2169
912352135,2176
912352128,2595
912351896,2618
912341951,2640
912343952,2717
3000060,2827
912351311,2959
912351885,2970
912343540,2984
912352114,3068
912347851,3220
912345042,3399
912352108,3501
912343551,3661
3000010,3930
912343530,3975
912352081,4037
912351941,4238
912351999,4316
3002578,4393
912351921,4510
3000233,4780
3000114,4994
3000026,5132
912346899,5337
912352090,5479
912350231,5690
912343520,6096
912352032,6272
3000041,6303
912351969,6485
912343544,6992
912352041,7501
912343526,7772
912351858,7835
912352091,7840
912351848,7928
912343833,8010
912351869,8381
912343558,8609
912344460,8684
3000049,8799
912345043,9204
912351929,9449
912351959,9725
912352031,9774
912351312,9911
912345411,9935
912351946,10327
912352026,10603
3002556,10653
3002575,10699
912343531,11014
3000061,11063
912349701,11199
912350190,11264
912351314,11329
3000234,11437
912351887,11627
912351920,11690
912341927,12072
912345056,12154
912351428,12260
912351397,12610
3002589,12766
912351399,12818
912351915,12879
912352027,13084
912352671,13103
912351981,13214
3000242,13562
912352124,13848
912343562,13854
912346312,13861
912342964,13945
912347860,13954
912350805,14241
912350042,14374
912347866,14499
912341941,14584
912351988,14932
3002543,15001
912352116,15004
3002579,15058
7002859,15130
912343550,15487
912343524,16089
912343525,16092
912352037,16481
912345680,16652
3000243,16663
912343549,16746
3000241,17384
912351889,17521
912344461,17954
3002560,18180
912351952,18224
912343536,18281
912341936,18296
912352079,18526
912352099,18660
912352634,18843
912350726,18908
3000048,19117
912351867,19358
912351426,19730
912351306,19969
3002544,19973
912343529,20491
912351955,20817
912341961,20958
912341939,20968
3000125,21389
912347861,21398
912344393,21721
912352040,21761
912351906,21999
912350194,22188
912351380,22235
912351308,22436
912351879,22692
912351982,22751
912343539,23008
912345050,23367
3000068,23475
912351951,23509
3000018,23596
3000069,23906
3000146,23960
912351370,23967
3002534,24065
3002555,24196
912347863,24377
3002925,24396
912352109,24829
912351998,24983
912345960,24994
912350197,25417
3000123,25587
912341955,25681
912352658,26695
912351931,26723
3000087,26744
912343534,26911
3002537,27107
912352656,27373
912341946,27510
912346913,27525
912352636,27717
912352122,27720
912341953,27839
912344875,28504
912346758,28624
912351402,28639
912346072,28647
912351294,29000
3000191,29086
912344552,29152
3000137,29189
3002599,29257
912346475,29823
912352036,29928
912351964,30053
912344608,30072
912341952,30712
3000035,30978
912352063,31069
912351855,31315
3000084,31334
912349603,31383
3002540,31739
912351937,32323
912352123,32390
7000464,32591
3000089,32782
3000189,32957
3000028,33038
912351917,33144
912352105,33228
3002552,33273
912351960,33319
912351873,33422
912345002,33514
912347858,33561
3000017,34034
912352112,34345
3002550,34414
912351945,34811
912352659,34942
912344580,35076
912343542,35464
912351956,35711
912352657,35832
3000071,35997
912351301,36710
912351901,36739
3000214,36789
3000046,37084
3002584,37175
912347867,37366
912345696,37551
3000147,37593
912351970,37691
912352084,37850
912352292,37973
912351304,38077
912343527,38244
912343126,38311
912346311,38461
912341957,38898
912351893,39042
912346670,39095
3000118,39252
912352033,39313
912351977,39369
3000223,39600
912341933,39728
3000190,39757
3000020,39880
912352061,39940
912342978,40150
912344607,40161
912352029,40181
912352013,40186
912343532,40284
912350044,40627
912351944,40680
3000181,40993
912343557,41029
3000016,41098
912352130,41302
912351440,41315
912347850,41609
2001933,41661
912343541,41864
3002528,41930
3002541,42241
912351318,42263
912351936,42270
912352127,42470
912345059,42804
912351299,42928
3000011,42967
3000031,43347
3002600,43410
3000126,43497
912345401,43599
3002582,43886
3002554,44590
3000149,45154
912345689,45338
912352001,45481
912351305,45505
912343528,45631
912351903,46171
912346260,46202
3002567,46337
912351996,46368
3000211,46424
912344958,46506
912352132,46665
3002618,46761
912352098,47005
912346365,47158
3000171,47386
3002620,47811
912343535,47845
912352660,47888
3000210,47909
912343924,47914
912352093,48215
3000040,48227
912346310,48283
912347856,48383
3002561,48765
912341954,48783
912344579,49111
3002594,49212
912347862,49227
912343556,49448
3002553,49559
912344462,49670
912343522,49686
912351957,50010
912350224,50417
3000036,50715
912351890,50828
912351862,50856
3002580,51122
3002921,51278
912352669,51646
912347864,51796
912352030,52068
2002573,52385
912351933,52495
3002549,52980
912352064,53042
912347859,53489
912345049,53506
912352044,54243
912351882,54435
912351986,54460
912343559,54494
912352121,54514
912352043,54725
912352045,54780
912352059,54796
912351888,55232
912351313,55249
3002548,55347
912351315,55602
3000083,56153
912351967,56230
3002574,56523
912341929,56593
3000240,56642
912346464,56790
912343548,56823
3002597,57032
912341930,57830
912351310,58084
3000088,58278
3000102,58345
912345412,58373
912351857,58589
2001257,59131
912351914,59138
3002593,59284
912343561,59354
912344458,59473
912351718,59820
3002529,60154
912351895,60159
3002920,60337
912351856,60453
3000138,60574
912352694,60602
912351928,60653
912341940,60959
912352674,61117
3000052,61136
912347590,61274
912346071,61352
912347854,61537
912351935,61629
912344871,61733
3000196,62354
3000186,62366
912350293,62595
3000093,62602
912351307,62637
912346669,63037
3002572,63042
912347865,63212
912342967,63335
912351897,63690
912345688,63780
3002624,63980
912352003,64001
912350045,64212
912351847,64291
912351898,64434
912346755,64539
912352126,64700
3002919,65346
912351902,65811
912352131,66034
912351372,66202
912344443,66254
912350043,66296
3000154,66310
912352633,66615
912352097,66622
3002525,66673
912351927,67132
3000117,67146
912351942,68079
912351912,68207
912341935,68278
912343519,68630
912351962,69069
912351919,69199
912341937,69246
912343545,70046
912350191,70217
912344874,70299
912351381,70333
912352002,70531
3002577,71482
912343925,71525
912351916,71598
912351966,71604
912351424,72029
912352101,72158
912346463,72270
912344459,72479
3000081,72534
912352015,73055
912351972,73202
912351354,73290
3000103,73405
912343538,73645
3000082,73899
3000180,73913
912352058,73972
912341948,74034
3000124,74069
912349678,74164
912341943,74225
912343543,75511
3000177,75753
3002563,75949
3002546,75991
3000113,76073
912351953,76135
3002526,76360
3002583,76451
912351872,76816
912351382,76956
3002595,77055
912343552,77242
7000458,77257
3000215,77332
3000200,77474
912351899,77540
912351878,77562
912352673,77837
3000135,78120
3000235,78200
912350193,78228
3002918,78246
3002558,78651
912352129,79448
3000202,79485
3000004,79507
912352637,79643
912351930,79759
912351871,79803
912351913,79860
912351300,80127
912351940,80470
3002601,80624
912351355,80668
912346574,80909
912341942,80952
3000249,81163
3000019,81239
912343533,81451
912352039,81478
912345695,81592
3000095,81665
912351429,81997
3000110,82179
2001427,82198
912351910,82309
912349687,82491
3000005,82561
912341931,83001
3000079,83170
912345058,83324
912352095,84124
3002924,84523
912352000,84601
912347855,84672
912351886,85095
912343563,85121
912349842,85271
3002559,85377
912352005,85613
912351866,85634
912341944,85864
912344870,85927
3000043,86082
912343547,86509
3002586,86665
912352074,86864
912352004,87004
912352025,87155
912351939,87249
3002545,87380
912351892,87411
3002521,87432
3000030,87823
912345402,87927
912340587,88312
3002520,88533
912351974,88566
3000197,88607
912352125,88671
912352083,88851
3000070,88864
3002568,88985
912352014,89064
3000057,89268
912352706,89733
912352028,89764
3000067,89965
912352133,89983
3000076,90227
912346470,90640
912347828,91328
3000072,91379
912352038,91685
912352115,92131
912351319,92249
3000056,93017
912347493,93184
3000104,93470
912345048,93495
912343523,94287
3000066,94673
912341938,94764
912345694,94816
912350290,94840
912351884,95046
912347857,95072
912351430,95161
912351900,95544
912341956,95733
912345925,95927
912343560,96004
912341925,96061
912352012,97016
912350250,97201
912352073,97483
912346640,97536
3002532,97632
912341960,97864
912343834,98096
912346471,98329
912343517,98848
912352094,99293
912351905,99748
912350192,100293
912352085,100405
912350033,100447
3002562,100487
912351954,100499
912345057,101025
912351926,101345
3000225,101567
912341962,101673
912341924,101756
912351302,101868
3000206,101961
3000062,102221
912352661,102429
912351975,102773
912343554,102800
3000027,102835
912346472,103340
912343553,103354
3002523,103510
3002536,103604
912351303,103632
912352056,103679
912351978,104210
912351908,104325
912351868,104425
3000024,104596
912351861,104830
912351284,105319
912343956,105514
912343953,105599
912352670,105850
7002855,105870
3000237,105914
3000115,106143
912351353,106350
912351442,106434
3000075,106450
3000109,106570
912343516,106683
912346314,106761
912351948,107324
3002622,107527
912351883,107559
912341945,107867
912352078,107876
3000158,108232
912351949,108330
3000050,108697
912343555,108700
3000101,108984
912351950,109265
912350804,109556
912343518,109771
3000231,110133
3000245,110290
912351922,110315
3000246,110398
912351925,110543
912343564,110556
3002581,110686
912346898,111071
912345687,111157
912341926,111326
912352180,111621
912346900,112131
912351938,112187
912344873,112348
3000013,112701
912351989,112802
3000009,112957
912351968,112985
2001903,113050
912352080,113377
912351874,113620
912351958,114135
3000127,114137
3002592,114196
912341949,114211
912351932,114300
912352024,114330
3000244,114716
912344869,114985
912352110,115001
3000148,115342
912352683,115427
912344872,115449
912341950,115550
912347853,115564
3000153,115913
912351961,116125
3000034,116922
912352075,117054
3002531,117211
3000051,117944
912346479,118168
912352060,118415
912341932,118689
912345060,118878
3002566,119224
912351997,119563
912351934,119648
912342979,120040
912351309,120507
3000023,120945
912346912,121192
3002922,121480
3000236,121923
3000012,122116
912351987,122156
912346897,122238
3002598,122349
912343546,122552
912341928,122646
912341934,123104
3000008,123126
912352057,123142
3000248,123160
912343537,123982
912352092,124092
912351943,124352
3002576,124451
912350188,124622
912351971,125153
3000047,125632
912343521,125846
912342968,125920
912346248,125980
3002588,126942
3000029,126952
912351947,127017
912352035,127030
912351973,127112
912351976,127232
3002538,127976
912351923,128015
912347849,128248
3002587,128407
912352042,128516
912352100,128548
912351909,128665
912352011,128943
912352034,129079
912351907,129151
